file_path,text
data/assignment_0001c109f0--618e51d81b30a46555ac6ae6/ru.51dcccd9-a806-44d2-9bfe-b0e17f3da3f2.wav,Пыжáтка
data/assignment_0001c10ab4--618e57573181b36f4bc55789/ru.9bc2facc-1fd2-4dbc-8e19-5e12051e95d7.wav,Лопатка
data/assignment_0001c10ab4--618e571df3fae902fd03ec9b/ru.a8e32a77-88ab-44f1-9e67-c268baf9506e.wav,Постель
data/assignment_0001c109f0--618e52218c45ed65d6ea64c3/ru.94a357a6-0165-47d2-a0ad-134bb0ee3e85.wav,Сопе́ль
data/assignment_0001c109f0--618e51d63181b36f4bc4e6cf/ru.29c513ca-1d4b-4b66-b9f2-9b0a373225bd.wav,Пыжáтка
data/assignment_0001c109f0--618e542df4715c64d0a4297b/ru.6b040444-2533-4348-a766-02e3e51a1ddd.wav,Пыжáтка
data/assignment_0001c10ab4--618e56da577ecb41204422f7/ru.bbd53ba2-83ec-48c6-ade0-6f3a7116066a.wav,Фанатка
data/assignment_0001c109f0--618e5207b392b23d102284a9/ru.ddce7b3a-482b-48ad-8841-d50088c4dec0.wav,Сопе́ль
data/assignment_0001c10ab4--618e57123181b36f4bc55492/ru.5ef5a942-3e4f-445e-8649-868d3ff21bd0.wav,Портфель
data/assignment_0001c10ab4--618e5718e5afa85df07cd683/ru.91f85923-73a1-46dc-b24a-1186c854d44b.wav,Перчатка
data/assignment_0001c109f0--618e51ee599ffd22a8a577d1/ru.7e185cd7-3759-4747-98db-3719f11fc8f2.wav,Сопе́ль
data/assignment_0001c109f0--618e51ab6bc1602e909f5adc/ru.603a59dd-6333-4dac-94d0-c7ded9f70de8.wav,Пыжáтка
data/assignment_0001c10ab4--618e5763005a627358c27c14/ru.2d29e188-1826-460b-8717-780ab70a3112.wav,Портфель
data/assignment_0001c109f0--618e51d81b30a46555ac6ae6/ru.31ae08b6-1889-43bf-8b5b-d2218ab5c378.wav,Пыжáтка
data/assignment_0001c109f0--618e526545ade00e6e24b260/ru.92feac24-f28c-4547-b508-5ef83e4f496c.wav,Пыжáтка
data/assignment_0001c10ab4--618e5756f4715c64d0a4455c/ru.5c26c30d-0e5e-4c6e-be04-18cda69a8970.wav,Портфель
data/assignment_0001c10ab4--618e571f74b44c4d75fd65d4/ru.d03f6e34-6c41-462d-b07f-6f1b7b71050f.wav,Постель
data/assignment_0001c10ab4--618e571df3fae902fd03ec9b/ru.31bb54e1-c310-4f42-8d97-09f721f0ba82.wav,Лопатка
data/assignment_0001c10ab4--618e5a14676cd4397d9bef3e/ru.d7ac6d61-884e-4f80-b810-55865876b8d2.wav,Фанатка
data/assignment_0001c109f0--618e516ce5afa85df07c9bb7/ru.fe713345-0742-4583-a31c-8f283ee4b012.wav,Пыжáтка
data/assignment_0001c109f0--618e5207b392b23d102284a9/ru.e810a570-176d-4ecc-a731-4ee216fdbf10.wav,Сопе́ль
data/assignment_0001c109f0--618e524537c1b433efbe096b/ru.0f107790-ba83-4ba8-9f38-7f6cece4aba5.wav,Сопе́ль
data/assignment_0001c10ab4--618e576a683e1d48793184a7/ru.ac75cea5-e599-4510-bf39-62ee106e094b.wav,Постель
data/assignment_0001c109f0--618e5261e0ebfa094fc60830/ru.10754479-f466-4add-8a67-f77b9d038b66.wav,Сопе́ль
data/assignment_0001c10ab4--618e56d211f82f6481ebf9e1/ru.79398793-9ad7-4d0b-9f7a-6c45c715796a.wav,Перчатка
data/assignment_0001c10ab4--618e56a8f0459c0879be77e2/ru.7ead909d-030a-4eac-8e1c-e43e7026fc28.wav,Портфель
data/assignment_0001c10ab4--618e56cff3fae902fd03e9c8/ru.3261ea0b-c140-4b4a-9d13-9c5d74568dfb.wav,Постель
data/assignment_0001c10ab4--618e56a7005a627358c27506/ru.77ef941c-7dac-4212-acff-6f08cbbc2e5c.wav,Портфель
data/assignment_0001c10ab4--618e56fd3181b36f4bc5539d/ru.b1a4e586-5a42-4c33-acda-f41d24a23ae7.wav,Щавель
data/assignment_0001c109f0--618e51f7676cd4397d9ba5a0/ru.f4d54649-41a9-4a55-8b0f-cd07bd7f2ea5.wav,Сопе́ль
data/assignment_0001c10ab4--618e569011f82f6481ebf7a7/ru.0633d90c-4c96-4678-8b93-a2dd6135665b.wav,Портфель
data/assignment_0001c10ab4--618e56b13a39340d22993007/ru.840f217a-2375-415a-9c83-50b7cfc211df.wav,Фанатка
data/assignment_0001c10ab4--618e57264b6bbd21478f5180/ru.933afd42-4c15-4bfa-b123-5bffe68768e9.wav,Щавель
data/assignment_0001c10ab4--618e572b1645434d1504640b/ru.65b2b16c-7eb8-4b06-b95d-78e0e2214226.wav,Портфель
data/assignment_0001c10ab4--618e573e132ea302f82c0c01/ru.08acf41d-d1cf-429e-97fd-52e0d510a3b3.wav,Фанатка
data/assignment_0001c109f0--618e5156ab44853ee89de0d1/ru.74d70d2c-9355-48d8-a8d0-62aa29b92222.wav,Сопе́ль
data/assignment_0001c109f0--618e51da55020e47a59542da/ru.6ec33c89-ebe2-4a39-a0fc-9c9610989ef4.wav,Сопе́ль
data/assignment_0001c10ab4--618e56fd3181b36f4bc5539d/ru.b136baa3-8e65-4353-8503-3a21edd1eea8.wav,Постель
data/assignment_0001c109f0--618e520fab44853ee89def94/ru.e5054dba-2c81-48ea-a9ac-9c3d63d65115.wav,Пыжáтка
data/assignment_0001c10ab4--618e56f72894310af46e03be/ru.5b689eb9-341e-4fdb-8b2d-31f6500dcac7.wav,Фанатка
data/assignment_0001c10ab4--618e572b1645434d1504640b/ru.5bf8a4e5-9ff4-4f5f-a96c-c9c6ee9b13aa.wav,Щавель
data/assignment_0001c10ab4--618e568934a4636f784fd0db/ru.49877686-c53b-47c9-a20b-0ef985bd5d2a.wav,Портфель
data/assignment_0001c10ab4--618e57123181b36f4bc55492/ru.46248fbe-791d-44c3-8f16-09f6947279a3.wav,Щавель
